Posição - Time,Pontos,Gols Marcados,Gols Sofridos
1º Flamengo - RJ,71,68,48
2º  Internacional - RS,70,61,35
3º  Atlético - MG,68,64,45
4º  São Paulo - SP,66,59,41
5º  Fluminense - RJ,64,55,42
6º  Grêmio - RS,59,53,40
7º  Palmeiras - SP,58,51,37
8º  Santos - SP,54,52,51
9º  Athletico Paranaense - PR,53,38,36
10º  Red Bull Bragantino - SP,53,50,40
11º  Ceará - CE,52,54,51
12º  Corinthians - SP,51,45,45
13º  Atlético - GO,50,40,45
14º  Bahia - BA,44,48,59
15º  Sport - PE,42,31,50
16º  Fortaleza - CE,41,34,44
17º  Vasco da Gama - RJ,41,37,56
18º  Goiás - GO,37,41,63
19º  Coritiba - PR,31,31,54
20º  Botafogo - RJ,27,32,62
